AT2G17720;
AT2G17800;
AT2G17640;
AT1G05280;
AT1G05240///AT1G05250;
AT1G05150;
AT1G05190;
AT1G05360;
AT1G05260;
AT1G05205;
AT1G05340;
AT1G05230;
AT1G05140;
AT1G05180;
AT1G05160;
AT1G05200;
AT1G55810;
AT1G55760;
AT1G55690;
AT1G55630;
AT1G55830;
AT1G55670;
AT1G09450;
AT1G09460;
AT1G09430;
AT1G09380;
AT1G09560;
AT1G09570;
AT1G09530;
AT1G09575;
AT1G09980;
AT1G10060;
AT1G10130;
AT1G30820;
AT1G67120;
AT1G67140;
AT1G06820///AT1G67090///AT2G44010///AT4G32620///AT4G36870///AT4G37510///AT5G38410///AT5G38420///AT5G38430///AT5G42010;
AT1G77130;
AT1G77210;
AT1G77220;
AT1G77180;
AT1G27390;
AT1G27400;
AT1G27480;
AT1G27385;
AT1G27290;
AT1G27300;
AT1G27320;
AT1G27460;
AT1G10250///AT1G10450;
AT1G10270;
AT1G10320;
AT1G10390;
AT1G10170;
AT1G10200;
AT1G10230;
AT1G10380;
AT1G10140;
AT1G10310;
AT1G10360;
AT1G10370;
AT1G10210;
AT1G10290;
AT1G10180;
AT1G10240;
AT1G43170;
AT1G43130;
AT1G61740;
AT1G61770;
AT1G61810;
AT1G61730;
AT2G25140;
AT2G25060;
AT2G25220;
AT2G25100;
AT2G25110;
AT2G25080;
AT2G25170;
AT1G12020;
AT1G11950;
AT1G11860;
AT1G12050;
AT1G11820;
AT1G12090;
AT1G11890;
AT1G12110;
AT1G11870;
AT1G03270;
AT1G03200///AT1G03240;
AT1G03210;
AT1G03190;
AT1G03360;
AT1G03330;
AT1G03220///AT1G03230;
AT1G03250;
AT1G03280;
AT1G55860///AT1G70320;
AT1G70360;
AT1G70350;
AT1G70300;
AT1G70280;
AT1G70410;
AT1G70420;
AT1G70370;
AT1G70330;
AT1G04220;
AT1G04200;
AT1G04190;
AT1G04230;
AT1G04170;
AT1G04120;
AT1G04130;
AT1G61900;
AT1G61990;
AT1G62030;
AT1G61820;
AT1G62040;
AT1G61870;
AT1G62045;
AT1G61890;
AT1G78770;
AT1G78850///AT1G78860;
AT1G78900;
AT1G16890///AT1G78870;
AT1G78895;
AT1G78920;
AT1G78680;
AT1G09150;
AT1G09140;
AT1G09230;
AT1G09240;
AT1G09200;
AT1G09280;
AT1G60220;
AT1G60270;
AT1G60390;
AT1G60440;
AT1G60140;
AT1G60160;
AT1G60200;
AT1G60420;
AT1G60430;
AT1G60170///AT3G60610;
AT1G60230;
AT1G67420;
AT1G67500;
AT1G67470;
AT1G67430;
AT1G54740;
AT1G54790;
AT1G54780;
AT1G54690;
AT1G54830;
AT1G54710;
AT1G54610;
AT1G22690;
AT1G22800;
AT1G22700;
AT1G22630;
AT1G22780;
AT1G22710;
AT1G22790;
AT1G22730;
AT1G22750;
AT1G22640;
AT1G22770;
AT1G22660;
AT1G65390;
AT1G65380;
AT1G65430;
AT1G65280;
AT1G65260;
AT1G65295;
AT1G65370;
AT1G02060;
AT1G02080;
AT1G02260;
AT1G02100;
AT1G02120;
AT1G02160;
AT1G02110;
AT1G02150;
AT1G02170;
AT1G02205;
AT1G02205;
AT1G02090;
AT1G02280;
AT1G02130;
AT1G79360;
AT1G79350;
AT1G79280;
AT1G79190;
AT1G79150;
AT1G79080;
AT1G79070;
AT1G79030;
AT1G78960;
AT1G79210;
AT1G79150;
AT1G79040///AT2G36620;
AT1G79260;
AT1G79050;
AT1G79000;
AT1G79270;
AT2G13690;
AT2G31260;
AT2G31270;
AT2G31320;
AT2G31240;
AT2G31340;
AT2G27970;
AT2G27900;
AT2G28000;
AT2G27920;
AT2G28540;
AT2G28470;
AT2G28590;
AT2G28510;
AT2G03670;
AT2G03680;
AT2G03780;
AT2G03750;
AT2G03730;
AT2G03710;
AT2G03760;
AT2G22450;
AT2G22400;
AT2G22560;
AT2G22510;
AT2G22500;
AT2G22420;
AT2G22360;
AT2G22475;
AT2G22425;
AT2G22470;
AT2G21120;
AT2G21090;
AT2G21070;
AT2G21210;
AT2G21190///AT4G38790;
AT2G21170;
AT2G21130;
AT2G21160;
AT2G21185;
AT2G21180;
AT2G21050;
AT2G21060;
AT2G42740;
AT2G42710;
AT2G42680;
AT2G42840;
AT2G42770;
AT2G42870;
AT2G42670;
AT2G42750;
AT2G42690;
AT2G42880;
AT2G42810;
AT2G36080;
AT2G35920;
AT2G35900;
AT2G36070;
AT2G35860;
AT2G35800;
AT2G36000;
AT2G36060;
AT2G35960;
AT2G35810///AT2G35820///AT2G35830;
AT2G35840;
